n_stations,Policy Network (ms),Hungarian (ms),QP (ms),Total (ms)
5,0.1247,0.0245,0.0093,0.1586
50,0.2259,0.3168,0.0112,0.5539
100,0.1900,0.6591,0.0107,0.8597
