episode,makespan,total_energy,working_energy,idle_energy
0,835.9137168526652,32554.347807735267,22643.891654491483,9910.456153243784
1,835.9137168526652,32554.347807735267,22643.891654491483,9910.456153243784
2,835.9137168526652,32554.347807735267,22643.891654491483,9910.456153243784
3,342.06180504723443,29175.151418378227,24560.473673118166,4614.677745260063
4,308.5269774023676,29608.556066472902,25464.11042407971,4144.4456423931915
5,305.4859374933399,30012.917275431882,25777.447992351958,4235.469283079924
6,302.4883008630369,29923.44433633433,25747.38710339665,4176.057232937681
7,275.3944392938517,29360.956077906794,25830.429391189937,3530.526686716856
8,279.40966994622585,29617.68380551622,25941.197749392155,3676.4860561240625
9,286.67700874571824,29853.755333433797,25978.68973827301,3875.0655951607887
10,284.1655292677218,29828.062387293958,26003.754973720166,3824.307413573791
11,282.55321796499754,29744.833016820405,25972.749094319883,3772.0839225005216
12,277.393542964536,29626.540155031857,25978.825631109554,3647.714523922302
13,277.9147051630268,29662.115131199756,25995.213544898976,3666.901586300781
14,276.90901627888553,29672.705877175762,26020.90010389517,3651.805773280593
15,277.22201379645225,29714.703575890846,26046.822849636854,3667.880726253992
16,275.1821459872861,29686.39788870229,26065.08769230319,3621.3101963990975
17,278.1114491196047,29751.64919249692,26058.5668781681,3693.0823143288194
18,275.97553784625876,29690.150148308272,26052.657684443035,3637.4924638652383
19,275.0769731612472,29678.08787885397,26060.716822853487,3617.371056000485
20,277.2769555554361,29742.393816136177,26068.25272493429,3674.141091201887
21,274.61155969279685,29672.585397838655,26065.469368037328,3607.1160298013265
22,280.67500129393767,29841.52293614279,26078.823582129968,3762.699354012819
23,277.3810461781445,29736.07362732927,26060.053421556113,3676.0202057731585
24,273.9972384355802,29673.605575647685,26077.472037989362,3596.1335376583247
25,282.74517277378243,29891.520934846787,26076.46387044826,3815.0570643985266
26,270.2925585475429,29586.378097897556,26081.49522802631,3504.882869871244
27,276.78075369298574,29750.25752459727,26082.701083938744,3667.5564406585268
28,282.5375846884677,29887.432225660243,26077.045455922496,3810.3867697377455
29,279.9416289000567,29833.293771582787,26085.460228486314,3747.833543096472
30,273.38205428431024,29661.244265708494,26078.942839548097,3582.3014261603957
31,283.873143203292,29927.39873311316,26082.16617192032,3845.2325611928422
32,274.0373163375327,29677.62241533231,26079.28507818947,3598.3373371428397
33,280.8906054684585,29844.083516397728,26075.082315850133,3769.0012005475955
34,282.81911728229835,29883.544511060507,26068.246262398105,3815.2982486624023
35,270.9886021819195,29564.61878794965,26050.0591318957,3514.5596560539475
36,278.48986673904824,29710.47135242251,26017.299802996793,3693.1715494257187
37,277.56201587161155,29676.157011461495,26008.546651399003,3667.610360062494
38,276.37999006558516,29709.667666963018,26058.20665905781,3651.4610079052054
39,280.5763747206432,29813.51356133598,26057.384920713142,3756.12864062284
40,273.71854660038764,29653.40120180833,26066.034310939154,3587.366890869178
41,290.34917056976843,30047.414383350457,26048.86487129395,3998.5495120565074
42,274.7082919421106,29657.966465119138,26050.383143937972,3607.5833211811664
43,271.31125646224467,29589.11174387256,26062.999534126116,3526.112209746444
44,277.9703051217595,29763.367518203737,26069.211507171363,3694.156011032372
45,267.02148110870115,29471.262444375952,26054.67999758855,3416.5824467874018
46,266.25102404790357,29482.351561309188,26078.702011456495,3403.649549852691
47,270.4648560073244,29546.912696473508,26046.38009816132,3500.5325983121875
48,269.6938482788079,29504.77259890879,26027.962516852815,3476.810082055974
49,263.5057037509459,29416.335951900226,26080.6635207457,3335.672431154524
50,286.7302224005141,29906.30626240606,26008.107842978956,3898.198419427103
51,277.1564103253883,29691.200145344585,26027.41613579812,3663.7840095464644
52,281.4236479082822,29826.434753584304,26050.029830919106,3776.4049226651987
53,281.89838140026023,29847.356003934314,26057.4475676362,3789.908436298113
54,279.574400373087,29798.886456852113,26065.024047159684,3733.862409692429
55,270.8645583529434,29585.856741623506,26068.81353777301,3517.0432038504964
56,274.13983847673893,29680.10052454048,26078.760764159015,3601.3397603814647
57,275.98599443625676,29730.22731141094,26081.982994806334,3648.244316604606
58,275.1990907528503,29705.244501380985,26077.734608069495,3627.50989331149
59,280.4142048180968,29836.632910100678,26078.544098426333,3758.088811674344
60,279.6620015748901,29819.08153243285,26079.496837980372,3739.584694452478
61,274.3184629972267,29686.084059630386,26079.96025813229,3606.1238014980945
62,278.33878857707555,29785.741429551552,26079.268573316433,3706.47285623512
63,276.3940064679704,29739.412401413247,26081.12038926576,3658.2920121474863
64,269.80257830182046,29573.507016135984,26080.207147814235,3493.2998683217475
65,277.5170728991073,29766.990452683585,26080.69420150091,3686.296251182672
66,279.15488936873356,29805.638227347732,26078.87394165233,3726.7642856954
67,277.1958734011225,29759.402307836423,26081.07081223855,3678.33149559787
68,271.61391840515125,29617.720990959897,26079.362491155913,3538.3584998039855
69,277.82527490988014,29772.861923203724,26079.233199911458,3693.6287232922678
70,278.9508085544649,29800.48059043706,26078.804057076253,3721.6765333608055
71,270.946825579729,29600.55595425182,26078.94160907372,3521.6143451781
72,279.4301170677136,29812.806838304394,26079.113307181713,3733.6935311226807
73,272.89469779355807,29650.44824940319,26079.985363348584,3570.462886054609
74,277.3832549840274,29758.425905525477,26076.50589015279,3681.9200153726897
75,275.53628767305355,29712.69476031875,26076.93409087133,3635.7606694474216
76,283.98729083777613,29921.08891251419,26074.60633579819,3846.482576715999
77,283.13269029342575,29898.682323429544,26073.78095913903,3824.901364290514
78,283.49305941657724,29908.087069878136,26074.059930747437,3834.0271391306987
79,280.5946742991244,29829.982868361923,26069.555353307813,3760.42751505411
80,285.8663450505905,29974.26155671803,26079.565197512384,3894.6963592056454
81,280.5959832667057,29839.93133626863,26077.502502507,3762.4288337616294
82,282.56958773630424,29870.798822785277,26062.686694801956,3808.1121279833187
83,279.1427868291889,29783.551486209733,26061.392385058192,3722.159101151541
84,289.5470386915815,30042.2155891391,26060.311918502157,3981.903670636944
85,281.58039468826183,29855.91530376114,26070.621308792448,3785.2939949686897
86,287.13105113224947,29983.647561447815,26061.735943605636,3921.9116178421777
87,284.36653823923325,29919.621286973066,26065.802741035943,3853.818545937125
88,288.11921852471863,30001.878581055575,26056.589766186415,3945.2888148691613
89,287.8648344041727,30003.023224788314,26062.578761117795,3940.4444636705184
90,285.2565987554998,29920.54519577123,26048.77542590445,3871.7697698667816
91,287.84623463953596,29992.89926840972,26054.81975869184,3938.079509717883
