episode,makespan,total_energy,working_energy,idle_energy
0,883.4789889931678,33391.62606809956,22912.70955915672,10478.91650894284
1,883.4789889931678,33391.62606809956,22912.70955915672,10478.91650894284
2,883.4789889931678,33391.62606809956,22912.70955915672,10478.91650894284
3,1336.283363705874,41884.892248968856,26245.723039399156,15639.169209569704
4,1366.5168710827836,42572.79156597178,26361.863132791903,16210.928433179874
5,855.4345599204299,33500.87253576389,23083.520525357344,10417.35201040655
6,296.230390064883,29622.837246155832,25662.553288371506,3960.283957784326
7,304.59345653823937,29979.48554586288,25770.50782732366,4208.9777185392195
8,304.0047781852249,30071.42037758286,25839.320448508886,4232.099929073974
9,307.3385982221143,30233.927714017602,25886.435304424762,4347.492409592839
10,305.4582668006646,30265.746213583803,25937.93988796467,4327.8063256191335
11,306.9182282883484,30334.268224698342,25959.895564101284,4374.372660597058
12,305.8911293240349,30363.91552340746,25998.071678702003,4365.843844705458
13,305.2489899435177,30382.291911685737,26022.896264811076,4359.39564687466
14,306.7565758302128,30436.59848632232,26034.53964126357,4402.058845058749
15,306.4664633534936,30450.73113447658,26050.204048794232,4400.527085682348
16,306.32801751084634,30459.40009813093,26059.316673089106,4400.083425041823
17,306.25359808720225,30464.90497605641,26064.924502100206,4399.980473956204
18,306.1859162258297,30470.418416738667,26070.465585997703,4399.952830740964
19,306.12958571802545,30473.929674629624,26074.283131929686,4399.6465426999375
20,306.0438684309986,30474.578702332306,26076.45844452641,4398.1202578058965
21,305.98207128307445,30475.05490765554,26078.039598181073,4397.015309474469
22,305.91606811441306,30475.501018273557,26079.680738819126,4395.8202794544295
23,305.867510479119,30475.82005906793,26080.883058814736,4394.937000253195
24,305.8260033943272,30476.098917397587,26081.917944475517,4394.1809729220695
25,305.7922577612398,30476.33208659396,26082.766145589932,4393.565941004026
26,305.76296520105205,30476.53913593919,26083.50741694563,4393.03171899356
27,305.7409673279306,30476.698622987093,26084.06820415308,4392.630418834011
28,305.7152526418234,30476.85658423991,26084.699965120388,4392.156619119522
29,305.69375258855473,30476.981216241038,26085.22249696441,4391.758719276631
30,305.67749589730636,30477.07314498371,26085.615684278633,4391.457460705079
31,305.6644113732865,30477.145211660707,26085.930653003237,4391.214558657471
32,305.6570111352558,30477.18381671425,26086.1069125406,4391.076904173648
33,305.6502425722508,30477.216233876723,26086.265754992917,4390.950478883807
34,305.6434330746217,30477.246890044233,26086.42383630656,4390.823053737675
35,305.6375724162717,30477.27251667704,26086.559264191463,4390.713252485579
36,305.63316186379546,30477.288566901636,26086.658336024047,4390.6302308775885
37,305.62868988424657,30477.303436230777,26086.757569398942,4390.545866831836
38,305.6255370189956,30477.314553008247,26086.828080838317,4390.4864721699305
39,305.6228555949728,30477.3233442361,26086.887464617866,4390.435879618237
40,305.6197602542967,30477.33107930515,26086.953889666056,4390.3771896390945
41,305.6175629035646,30477.336703193578,26087.00116722658,4390.335535966998
42,305.61588862796634,30477.341424598853,26087.037568113097,4390.303856485758
43,305.6142887380226,30477.34560657299,26087.072054965804,4390.273551607186
44,305.6129495132706,30477.34854864189,26087.100417843016,4390.248130798875
45,305.6118009024621,30477.350647975498,26087.124369199784,4390.226278775713
46,305.6105611097249,30477.35246285281,26087.149823199627,4390.202639653184
47,305.6095767204229,30477.353794992952,26087.16992826781,4390.183866725142
48,305.6088266994059,30477.354911053204,26087.185344361234,4390.169566691969
49,305.60812025685595,30477.355893856093,26087.19979052226,4390.156103333833
50,305.60747983617347,30477.356685637944,26087.212794811607,4390.143890826336
51,305.60706497087585,30477.357148426625,26087.22117460233,4390.135973824294
52,305.60667811722396,30477.357603049786,26087.229014287524,4390.1285887622635
53,305.6063391654003,30477.35788977706,26087.235780502408,4390.122109274654
54,305.60592126321075,30477.357997123167,26087.243898125813,4390.114098997354
55,305.6055813016311,30477.358145656573,26087.250558159238,4390.107587497336
56,305.60520520059146,30477.358214944405,26087.25783756141,4390.1003773829925
57,305.60492163819157,30477.35818584429,26087.263251020453,4390.0949348238355
58,305.6046477239872,30477.358165644553,26087.26848796344,4390.089677681111
59,305.60437019797513,30477.358113850496,26087.2737661094,4390.084347741096
60,305.60411121260563,30477.35802849164,26087.278659019852,4390.079369471787
61,305.60387482681506,30477.35794494752,26087.283116402454,4390.074828545065
62,305.6036666885622,30477.357838152297,26087.287009333675,4390.07082881862
63,305.60346298258685,30477.357684406215,26087.29077588854,4390.066908517674
64,305.60327881457926,30477.35759125676,26087.294222041295,4390.063369215466
65,305.6031225787668,30477.35754199084,26087.297172925115,4390.060369065726
66,305.60296604844984,30477.357430796255,26087.300073736493,4390.057357059761
67,305.60282931974814,30477.357351306455,26087.302623202544,4390.054728103913
68,305.60271985767156,30477.357303006072,26087.304679035897,4390.052623970176
69,305.60259136467346,30477.357175922498,26087.30702702493,4390.050148897567
70,305.6024461552002,30477.35704710708,26087.309694233834,4390.047352873248
71,305.60234107578174,30477.356947015192,26087.311617186468,4390.045329828723
72,305.60222796391076,30477.356803828057,26087.313653904275,4390.043149923782
73,305.6021551671321,30477.35673187582,26087.314983192064,4390.041748683759
74,305.602071467512,30477.356649319954,26087.31651244027,4390.040136879684
75,305.60198055661647,30477.35654623974,26087.318161299805,4390.038384939935
76,305.60188639970494,30477.35638875156,26087.319822146885,4390.0365666046755
77,305.6018256589048,30477.356306638332,26087.320910564405,4390.035396073928
78,305.6017541667228,30477.356193658507,26087.32217684226,4390.034016816247
79,305.60170464834226,30477.356132506204,26087.323068981794,4390.033063524411
80,305.60162983195863,30477.35600319194,26087.324383958774,4390.031619233165
81,305.6015747217384,30477.355914211606,26087.32535864317,4390.0305555684345
82,305.6015052665982,30477.35576596097,26087.326553857733,4390.029212103236
83,305.60145552727323,30477.355673754042,26087.327422696137,4390.028251057907
84,305.60141646795375,30477.35561195237,26087.32811443823,4390.027497514138
85,305.60138226005364,30477.355553337256,26087.32871600851,4390.026837328747
86,305.60135335562654,30477.355511964313,26087.32923196626,4390.026279998051
87,305.6013288456701,30477.35547802112,26087.32967047473,4390.02580754639
88,305.6012948748695,30477.355414971746,26087.330263510084,4390.025151461659
89,305.60125937474174,30477.355337824534,26087.33087274552,4390.024465079017
90,305.60122171599306,30477.35525090052,26087.331514324334,4390.023736576186
91,305.6011817391982,30477.355157057256,26087.33219400636,4390.022963050896
92,305.6011418277152,30477.355065294672,26087.332874314256,4390.022190980417
93,305.60109090830724,30477.354922373754,26087.33371847678,4390.021203896974
94,305.601053723683,30477.35482573535,26087.334342058122,4390.020483677228
95,305.60103058762047,30477.35477850747,26087.33474185791,4390.020036649559
96,305.6009963245639,30477.35468185573,26087.335309278275,4390.019372577455
97,305.6009588143648,30477.354576980135,26087.33593138641,4390.018645593726
98,305.60092596904497,30477.354498171448,26087.336488187684,4390.0180099837635
99,305.60090237567505,30477.354446108973,26087.336892275423,4390.01755383355
100,305.6008767339109,30477.3543774754,26087.337320120732,4390.017057354669
101,305.60085306254604,30477.354307537145,26087.337709040712,4390.016598496433
102,305.6008282610116,30477.35423421903,26087.338116707902,4390.016117511129
103,305.6008063293071,30477.354167011898,26087.33847494142,4390.015692070475
104,305.60078379798654,30477.35409986179,26087.33884466293,4390.015255198862
105,305.6007658122992,30477.35404532063,26087.33913885997,4390.014906460658
106,305.6007471720819,30477.35398643662,26087.339441652755,4390.014544783867
107,305.6007276136556,30477.353922979462,26087.339757779395,4390.014165200067
108,305.60070587652353,30477.353853071454,26087.340109706256,4390.013743365198
109,305.6006898603641,30477.353806696075,26087.340373720715,4390.013432975358
110,305.60067534106156,30477.35375662065,26087.34060563715,4390.013150983503
111,305.6006607823212,30477.35370310511,26087.340835065923,4390.012868039187
112,305.6006483345847,30477.353661796704,26087.341035395664,4390.0126264010405
113,305.6006386417388,30477.35363214578,26087.341193695305,4390.012438450473
114,305.6006281852558,30477.353596869878,26087.341361393286,4390.012235476591
115,305.60061800960943,30477.353562834145,26087.341524802927,4390.012038031218
116,305.60060678878364,30477.35352460272,26087.341704414866,4390.011820187854
117,305.60059459118213,30477.353481547518,26087.34189824386,4390.011583303659
118,305.60057748341296,30477.35341426717,26087.34216374853,4390.011250518643
119,305.60055827010564,30477.353338628207,26087.342461830714,4390.010876797493
120,305.60054749592575,30477.353303403608,26087.34263558718,4390.010667816426
121,305.6005385199548,30477.353274308138,26087.34278055247,4390.010493755666
122,305.60052838523995,30477.353237543128,26087.342940663875,4390.010296879252
123,305.6005200807634,30477.35320680966,26087.34307126555,4390.010135544112
124,305.6005122252012,30477.3531777054,26087.34319482548,4390.009982879919
125,305.60050516027945,30477.35315117779,26087.343305606442,4390.009845571349
126,305.600500040046,30477.35313320133,26087.343387049445,4390.009746151884
127,305.60049462442083,30477.353114936974,26087.34347385793,4390.009641079044
128,305.6004889161804,30477.35309591025,26087.343565547628,4390.009530362622
129,305.60048037152,30477.353062747025,26087.34369847597,4390.009364271054
130,305.60047364252273,30477.35303685382,26087.34380337485,4390.00923347897
131,305.600467416631,30477.35301193252,26087.343899535528,4390.0091123969905
132,305.6004618162099,30477.352994033114,26087.34399021055,4390.009003822564
133,305.60045379677626,30477.352963288165,26087.344115312215,4390.008847975951
134,305.60044477284475,30477.352928374734,26087.344255786615,4390.008672588117
135,305.60043464082446,30477.35288894384,26087.34441328616,4390.008475657678
136,305.6004261887537,30477.352855378107,26087.344544050775,4390.008311327331
137,305.6004188488924,30477.35282664404,26087.344657964888,4390.008168679155
138,305.6004105409679,30477.352794139086,26087.344786974936,4390.00800716415
139,305.6004008765456,30477.352753378153,26087.34493428117,4390.007819096983
140,305.6003878119876,30477.352697158414,26087.345132368882,4390.007564789534
141,305.60037662852073,30477.35265106586,26087.345303779133,4390.007347286727
142,305.60036580806866,30477.352604769632,26087.34546807553,4390.007136694101
143,305.600359037312,30477.352578230366,26087.345573104492,4390.0070051258745
144,305.60034881145697,30477.35253327258,26087.345727237884,4390.006806034698
145,305.60034051221976,30477.352498360815,26087.34585376741,4390.006644593405
146,305.60033315051516,30477.35246726302,26087.345965875127,4390.006501387892
147,305.6003257830602,30477.352435297136,26087.346077301612,4390.006357995524
148,305.60031891631365,30477.352403606936,26087.34617941083,4390.006224196106
149,305.6003152390564,30477.35238714359,26087.34623454472,4390.006152598873
150,305.60031177809617,30477.352372036366,26087.346286797743,4390.006085238622
151,305.6003072751873,30477.352350818743,26087.346353332483,4390.005997486262
152,305.60030512299113,30477.352341525122,26087.346385923564,4390.0059556015585
153,305.60030109028065,30477.352322730752,26087.346445694908,4390.005877035846
154,305.6002965930489,30477.352301591425,26087.34651218986,4390.005789401566
155,305.60029327259446,30477.352286593174,26087.346561841245,4390.005724751931
156,305.6002904212836,30477.352273472425,26087.346604261773,4390.005669210654
157,305.60028725484614,30477.3522583372,26087.346650844567,4390.005607492633
158,305.60028529692465,30477.352248805248,26087.34667949779,4390.005569307458
159,305.600283858358,30477.35224159364,26087.346700353173,4390.005541240465
160,305.6002818146906,30477.352231354474,26087.346729986097,4390.00550136838
161,305.6002793567084,30477.352219956556,26087.346766468694,4390.00545348786
162,305.6002769787723,30477.352208820754,26087.346801663472,4390.005407157281
163,305.6002757622791,30477.35220259679,26087.346819180602,4390.005383416188
164,305.60027460896686,30477.352196344673,26087.346835459775,4390.0053608848975
165,305.6002731010344,30477.352188623012,26087.34685716009,4390.005331462922
166,305.60027272075166,30477.352185979536,26087.346861991035,4390.005323988504
167,305.6002718168189,30477.352181051592,26087.346874723964,4390.005306327627
168,305.60027040265993,30477.35217401595,26087.346895267903,4390.005278748045
169,305.60026869647135,30477.352165892204,26087.34692039286,4390.005245499344
170,305.60026605533574,30477.35215254639,26087.346958573482,4390.005193972908
171,305.6002632445155,30477.352139963998,26087.347000703194,4390.005139260803
172,305.6002611432309,30477.352130868207,26087.347032482165,4390.005098386041
173,305.60025997904063,30477.352125812235,26087.347050076227,4390.0050757360095
174,305.6002584911042,30477.352118757943,26087.347072014276,4390.005046743666
175,305.60025774200915,30477.352115313293,26087.3470831579,4390.0050321553945
176,305.6002578585154,30477.352115364607,26087.34708098586,4390.005034378746
177,305.6002576595791,30477.352113987552,26087.347083520384,4390.005030467166
178,305.6002572497207,30477.35211173599,26087.347089280403,4390.005022455586
179,305.60025650091893,30477.352108080486,26087.347100224753,4390.005007855731
180,305.60025581740763,30477.352104766673,26087.347110236427,4390.0049945302435
181,305.60025457162556,30477.35209873822,26087.34712850129,4390.004970236934
182,305.6002537455008,30477.352094486792,26087.34714037795,4390.004954108842
183,305.6002512810819,30477.352083506943,26087.347177357347,4390.004906149594
184,305.60024509162656,30477.352055070703,26087.347269443835,4390.00478562687
185,305.6002398577255,30477.352032033836,26087.34734826375,4390.004683770087
186,305.60023611835993,30477.352015793884,26087.34740475502,4390.004611038865
187,305.60023229360934,30477.351998507,26087.347461916128,4390.004536590874
188,305.60022941329885,30477.351985542755,26087.347505009657,4390.004480533098
189,305.60022567837774,30477.351967838014,26087.34756005652,4390.004407781493
190,305.6002217295442,30477.351949581414,26087.347618681277,4390.004330900137
191,305.60021794070997,30477.35193205211,26087.347674909284,4390.0042571428285
192,305.60021411755736,30477.351913433457,26087.347730788657,4390.0041826448005
193,305.60020978667114,30477.351892288832,26087.34779404429,4390.004098244542
194,305.60020531261506,30477.351870343155,26087.347859298847,4390.004011044308
195,305.60020272095323,30477.35185904491,26087.34789839943,4390.003960645481
196,305.60019936583114,30477.35184268258,26087.347947419214,4390.003895263366
197,305.6001962371837,30477.351827975985,26087.34799364491,4390.0038343310725
198,305.60019446737317,30477.351819983887,26087.348020087713,4390.003799896176
199,305.6001936899927,30477.351816016504,26087.34803128149,4390.003784735015
200,305.60019346292904,30477.351814605117,26087.34803431952,4390.0037802855995
201,305.60019285717397,30477.351811188215,26087.348042741374,4390.0037684468425
202,305.60019302566775,30477.351811653793,26087.34803995488,4390.003771698914
203,305.6001930509101,30477.35181155384,26087.34803938228,4390.003772171562
204,305.6001926268825,30477.351809463322,26087.348045555384,4390.003763907939
205,305.60019149060355,30477.35180387491,26087.348062110632,4390.003741764277
206,305.6001889130935,30477.35179057844,26087.348099083512,4390.003691494929
207,305.60018560828007,30477.351773133625,26087.34814612179,4390.003627011835
208,305.6001818072633,30477.35175348108,26087.348200597884,4390.003552883197
209,305.6001783456236,30477.351736598157,26087.3482511329,4390.003485465259
210,305.60017385058643,30477.351714380035,26087.348316490978,4390.003397889058
211,305.6001696259266,30477.351692477576,26087.34837698369,4390.003315493885
212,305.6001670449839,30477.35167921723,26087.34841404952,4390.00326516771
213,305.6001657681289,30477.351672610996,26087.3484323469,4390.003240264095
214,305.60016515993766,30477.351669328695,26087.348440935046,4390.00322839365
