episode,makespan,total_energy,working_energy,idle_energy
0,938.0940491514398,34249.244786580944,22644.574100725957,11604.670685854986
1,1212.2902130948835,39629.37568666901,23539.72075871944,16089.654927949574
2,1093.466639496396,37334.27585119647,23219.788362620206,14114.487488576264
3,447.4961022540352,29227.009290006856,23470.8425511487,5756.166738858155
4,676.065747518227,30871.588309192644,22785.606715364927,8085.981593827715
5,352.49996240074915,30157.487178486535,25359.307304894555,4798.179873591979
6,367.9025282645603,31252.383100752744,25805.70455463278,5446.678546119966
7,382.4881321874214,31810.567606541554,25935.204662511376,5875.362944030179
8,365.40193104084125,31517.232162646338,26001.989790713014,5515.242371933325
9,345.6963352063544,31093.073594141995,26021.96756504431,5071.106029097685
10,360.5003879586635,31440.074025625414,26013.204864419415,5426.869161206001
11,365.81377635924514,31582.988958431262,26030.209536521266,5552.779421909994
12,341.9614954693508,31015.07167806472,26020.02680121328,4995.044876851442
13,357.1565388941632,31491.900906543753,26025.184736135252,5466.716170408501
14,328.0368648134157,30709.993511587778,26027.573234066083,4682.420277521695
15,347.4016761849129,31169.184776413487,26028.140172219693,5141.044604193792
16,343.6277267789991,31047.562812792457,26027.847790886797,5019.715021905661
17,354.6807468232128,31342.72315432712,26020.16548155361,5322.557672773508
18,333.3880683137402,30791.68382605278,26011.72905692162,4779.954769131158
19,345.26315443544985,31116.672185578827,25994.404259532625,5122.267926046203
20,345.84804382428223,31091.238782697892,25961.877510882478,5129.361271815414
21,387.71207301755766,32009.56161320535,25959.859182185875,6049.702431019476
22,365.2533081759315,31468.602927260086,25942.974828176306,5525.628099083779
23,336.0836844468218,30776.57729082825,25960.104467009958,4816.47282381829
24,364.83503488474776,31406.601834409405,25942.764266467333,5463.837567942072
25,328.4361898328198,30636.55210559886,25944.487645054498,4692.064460544363
26,377.93444533825885,31806.085082624406,25991.11288231908,5814.972200305324
27,335.39734756490856,30818.591854572493,25991.459072768514,4827.132781803978
28,329.59954482949666,30669.40774568015,25969.100999973823,4700.306745706325
29,374.00049175253804,31695.933632280765,25980.055801893774,5715.877830386993
30,379.9058414297847,31845.741837492387,25983.92891710184,5861.812920390549
31,373.6950350311431,31686.921541556185,25975.21466605604,5711.706875500146
32,364.57730754029257,31489.743487429485,25975.63963480257,5514.103852626914
33,338.19284697314924,30838.345634275473,25950.174265726586,4888.171368548887
34,332.9012327873688,30771.01831950264,25963.147981802846,4807.8703376997955
35,348.358437918086,31086.852234417784,25998.544969077913,5088.307265339871
