seed,model,failure_rate,nose_level,avg_makespan,std_makespan,avg_energy,std_energy,success_episodes
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_2_seed_294\ddpg_lirl_pi_mu_20250919_205750.pth,0.1,0.0,370.6255660384592,10.490384441079303,31281.195775880966,266.81166300661874,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_2_seed_294\ddpg_lirl_pi_mu_20250919_205750.pth,0.3,0.0,383.41205044277126,14.583915726166163,31726.735420018325,404.9434109761187,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_2_seed_294\ddpg_lirl_pi_mu_20250919_205750.pth,0.5,0.0,382.6914728753325,15.102214590759635,31706.835371088633,412.7536915520771,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_3_seed_714\ddpg_lirl_pi_mu_20250919_205750.pth,0.0,0.0,327.6227558090964,0.0,30294.446587276663,0.0,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_3_seed_714\ddpg_lirl_pi_mu_20250919_205750.pth,0.0,0.1,348.3789899688612,0.9029167972636583,29364.74921755837,46.936045316350096,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_3_seed_714\ddpg_lirl_pi_mu_20250919_205750.pth,0.0,0.3,399.44881309392747,3.435693021155969,28691.32785127429,92.11851093026368,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_3_seed_714\ddpg_lirl_pi_mu_20250919_205750.pth,0.0,0.5,459.4160443749074,7.2667602640639775,28870.109076674027,87.37771212394144,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_3_seed_714\ddpg_lirl_pi_mu_20250919_205750.pth,0.0,0.0,327.6227558090964,0.0,30294.446587276663,0.0,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_3_seed_714\ddpg_lirl_pi_mu_20250919_205750.pth,0.1,0.0,404.3285220912509,19.79226075484152,31911.514360150082,462.98865112963085,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_3_seed_714\ddpg_lirl_pi_mu_20250919_205750.pth,0.3,0.0,393.59596561116666,12.784693268214616,31682.685238911206,321.6613334416132,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_3_seed_714\ddpg_lirl_pi_mu_20250919_205750.pth,0.5,0.0,391.03689225139703,11.680732482912592,31648.680076681318,260.35020581584564,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_4_seed_1092\ddpg_lirl_pi_mu_20250919_205750.pth,0.0,0.0,305.60000000886976,0.0,30477.350634339593,7.275957614183426e-12,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250919_failure_0.0\run_4_seed_1092\ddpg_lirl_pi_mu_20250919_205750.pth,0.0,0.1,325.7270627422598,0.8648985333434417,29370.824910457934,31.26108022162271,10
