seed,model,failure_rate,nose_level,avg_makespan,std_makespan,avg_energy,std_energy,success_episodes
1993,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_10_seed_1993\ddpg_lirl_pi_mu_20250908_042113.pth,0.0,0.0,325.15309676459214,0.0,30673.95316392851,3.637978807091713e-12,10
1993,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_10_seed_1993\ddpg_lirl_pi_mu_20250908_042113.pth,0.0,0.1,346.4289727151105,1.1367964088350813,29668.460875456036,42.20605172186541,10
1993,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_10_seed_1993\ddpg_lirl_pi_mu_20250908_042113.pth,0.0,0.3,399.41950227994954,3.0202540093534695,28840.277885354444,73.34027028587926,10
1993,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_10_seed_1993\ddpg_lirl_pi_mu_20250908_042113.pth,0.0,0.5,457.34944738096664,6.896771423425484,28961.09078057639,80.66314050689287,10
1993,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_10_seed_1993\ddpg_lirl_pi_mu_20250908_042113.pth,0.0,0.0,325.15309676459214,0.0,30673.95316392851,3.637978807091713e-12,10
1993,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_10_seed_1993\ddpg_lirl_pi_mu_20250908_042113.pth,0.1,0.0,469.02146683650665,45.7677988379487,33476.50196288295,974.9544698972868,10
1993,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_10_seed_1993\ddpg_lirl_pi_mu_20250908_042113.pth,0.3,0.0,660.4419399323065,44.96663471052016,36992.904651354256,979.6710191087176,10
1993,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_10_seed_1993\ddpg_lirl_pi_mu_20250908_042113.pth,0.5,0.0,796.08652942988,51.600381646988325,39336.40823118189,1149.2619009847976,10
3047,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_1_seed_3047\ddpg_lirl_pi_mu_20250908_042113.pth,0.0,0.0,223.4005806402143,0.0,28422.319521620422,0.0,10
3047,d:/Projects/RMS_V3.0 -robust/ddpg_lirl_pi_multi_run_2025090/ddpg_lirl_pi_multi_run_20250908_042113\run_1_seed_3047\ddpg_lirl_pi_mu_20250908_042113.pth,0.0,0.1,227.82917505886707,8.547945012553301,26920.83774120285,223.4917546352004,10
