seed,model,failure_rate,nose_level,avg_makespan,std_makespan,avg_energy,std_energy,success_episodes
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,353.8105875000267,15.989414546210307,31280.807081119925,381.23195500687984,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,369.00630064860644,16.349724163772365,31662.527654379453,400.76344548800677,10
294,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_2_seed_294\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,372.5139073895055,10.872381323007978,31782.09546922911,256.0397892722529,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,305.62040387134954,0.0,30477.136748142366,0.0,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,325.9938047485713,0.5570501668838092,29392.617409473238,52.734937770038734,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,379.7465425720303,2.8787936382720782,28558.10181601876,142.3485474716923,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,442.6707315944792,5.6787707398770095,28668.893560923938,114.29967659037649,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,305.62040387134954,0.0,30477.136748142366,0.0,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,354.40813889922254,16.791042328673342,31411.555218922535,392.2067865998347,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,360.03677312257594,8.905404910104036,31544.276661559306,207.54675080157048,10
714,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_3_seed_714\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,356.859017469951,10.76199683431571,31462.327553965,250.76484708926037,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_4_seed_1092\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,323.93525028865685,0.0,30427.31095870994,7.275957614183426e-12,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_4_seed_1092\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,343.6821469009259,1.3272391571742546,29456.994702217133,37.03600272959021,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_4_seed_1092\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,394.6813722763894,2.634641935005383,28666.799599162223,79.47014044446199,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_4_seed_1092\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,456.60216880611586,7.566959277162149,28908.593998753564,58.25906665562161,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_4_seed_1092\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,323.93525028865685,0.0,30427.31095870994,7.275957614183426e-12,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_4_seed_1092\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,379.5097351672258,17.63185572439963,31611.471436666372,443.0685621769332,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_4_seed_1092\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,376.916863878025,8.625121634463685,31636.801758385183,293.0005803044203,10
1092,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_4_seed_1092\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,374.6634005234303,9.472756363876693,31630.749297839724,266.6257244747917,10
1386,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_5_seed_1386\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,353.28155175344966,0.0,30978.92308730531,3.637978807091713e-12,10
1386,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_5_seed_1386\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.1,373.2131472122438,1.43357841641466,29939.63957922809,67.93854576016442,10
1386,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_5_seed_1386\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.3,421.2529319291792,2.7540972287111516,29139.387016037876,98.73093346017663,10
1386,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_5_seed_1386\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.5,478.4923945277941,6.024723636010886,29279.23236524078,115.2684183808047,10
1386,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_5_seed_1386\ddpg_lirl_pi_mu_20250921_085501.pth,0.0,0.0,353.28155175344966,0.0,30978.92308730531,3.637978807091713e-12,10
1386,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_5_seed_1386\ddpg_lirl_pi_mu_20250921_085501.pth,0.1,0.0,425.9449148452706,27.62542701497146,32363.208432166837,561.9939120559033,10
1386,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_5_seed_1386\ddpg_lirl_pi_mu_20250921_085501.pth,0.3,0.0,468.4732796209287,31.210125438636233,33068.550693366036,602.4674351037617,10
1386,D:\Projects\RMS_V3.0 -robust\ddpg_lirl_pi_multi_run_20250921_failure_0.5\run_5_seed_1386\ddpg_lirl_pi_mu_20250921_085501.pth,0.5,0.0,494.3130519734403,40.69857972600114,33436.773449181186,752.9391541191815,10
