episode,makespan,total_energy,working_energy,idle_energy
0,1161.1730734246896,38453.186087143826,23502.778575725424,14950.407511418402
1,1010.918474773817,35793.96505848451,22740.536736760583,13053.428321723928
2,1056.7651701930465,36471.90559709858,23088.2037065875,13383.701890511082
3,1529.0053616286114,45553.97503104973,26228.972564730433,19325.002466319303
4,1553.0473100698364,46034.47379110905,26393.824329064413,19640.649462044632
5,1588.5469390736137,46433.73088524883,26351.602236396404,20082.128648852424
6,765.0082400471579,32229.83290429997,22179.04852958479,10050.78437471518
7,372.7715389384339,31213.1687358459,25691.204318748256,5521.9644170976435
8,363.66192764954314,31163.414062924352,25756.034546089017,5407.379516835335
9,382.3257575106398,31699.865227951726,25848.96475936201,5850.900468589714
10,338.26784759972054,30757.754516126577,25898.449076413548,4859.305439713029
11,354.35722885167627,31217.01472120698,25951.95235878498,5265.062362421997
12,356.81402232069826,31392.868405808185,25996.349557364374,5396.51884844381
13,368.3766298619947,31675.596216582875,26026.82732897866,5648.7688876042175
14,336.73754840672046,30953.454330855602,26050.741201381716,4902.713129473886
15,330.35694694848473,30803.732073499254,26062.839691721732,4740.892381777523
16,387.70777545201383,32187.474950315955,26082.357529603934,6105.11742071202
17,358.03572205660896,31491.691314312964,26078.658627180215,5413.032687132749
18,333.719993999695,30937.36784272482,26079.4675524661,4857.90029025872
19,335.60902530454865,30951.127221766706,26081.838148803923,4869.289072962785
20,340.9736798488903,31063.039665805973,26085.37049508471,4977.669170721264
21,372.2417741742082,31823.862252498777,26085.51110929209,5738.351143206687
22,388.17611757516215,32193.64675973327,26085.574485213965,6108.072274519305
23,327.1503864447641,30777.046415334724,26085.159708676496,4691.886706658228
24,347.3206340055928,31281.43862568024,26085.560557753448,5195.878067926791
25,337.9476061231393,30995.489435797823,26085.839444492896,4909.649991304927
26,387.06667299687854,32181.963513843086,26086.02113533282,6095.942378510265
27,347.67533856255966,31260.687191102814,26086.172660028747,5174.514531074068
28,349.4391342729797,31290.765404226455,26086.298089162807,5204.467315063647
29,362.9389745651548,31598.139729206086,26086.419433604948,5511.720295601137
30,386.0706615515679,32144.7429948472,26086.513926084455,6058.229068762747
31,351.395682944703,31366.90899265675,26086.64115753918,5280.26783511757
32,357.29005157849326,31468.6613616947,26086.81165350854,5381.849708186162
33,373.59204737141084,31869.85972980829,26086.721055862443,5783.1386739458485
34,350.26729451387894,31321.110592439643,26086.767231165853,5234.34336127379
35,347.9124932521652,31332.49866975228,26086.817406448183,5245.681263304097
36,346.92386443462794,31302.53161676268,26086.860978300945,5215.6706384617355
37,335.11564523998254,30943.25332382925,26086.920367769617,4856.332956059632
38,344.5788142468581,31184.390263098285,26086.943211638612,5097.447051459674
39,358.5396965351231,31515.66025301854,26086.97618284527,5428.684070173274
40,340.01008409400885,31066.118904325045,26087.190969167837,4978.927935157208
41,343.8904244746853,31163.571095563606,26087.333665767037,5076.237429796569
42,374.5825965764149,31878.471094649452,26087.048863747295,5791.422230902155
43,401.52421078946935,32518.54503763331,26087.068376513693,6431.476661119617
44,362.4500041235489,31591.31909802887,26087.091655168442,5504.2274428604305
45,335.85610820698093,30969.858898350998,26087.10932662154,4882.749571729457
46,341.99298450000015,31107.20454379195,26087.12449853618,5020.080045255769
47,345.42481498028747,31199.396210498067,26087.1412002749,5112.255010223167
48,330.8981261454315,30901.07121736306,26087.155545206107,4813.915672156954
49,332.746614871867,30928.221621345132,26087.33022059821,4840.891400746923
50,312.59017805567095,30466.20556048258,26087.177803157407,4379.027757325175
51,369.261189138623,31756.632608064956,26087.19500027689,5669.437607788066
52,339.4150544190243,31057.766249080403,26087.19506027063,4970.571188809772
53,333.1231243121804,30949.96513263495,26087.342101089405,4862.623031545544
54,377.4484701298178,31927.37850253995,26087.237005416897,5840.141497123053
55,350.28805990199766,31307.26116053504,26087.2124486853,5220.04871184974
56,356.5964583758128,31493.945886686808,26087.24375330949,5406.702133377321
57,319.84750822932295,30622.747114837755,26087.223701296833,4535.523413540922
58,380.6640857362307,32074.603040333015,26087.228034345928,5987.375005987087
59,344.91697291851847,31192.31638239624,26087.233713348352,5105.082669047887
60,339.83266945294747,31098.06377681112,26087.240446332875,5010.823330478246
61,322.8020012307299,30686.952017652926,26087.244186371256,4599.707831281672
62,341.0073578031302,31094.141837082912,26087.252490004175,5006.889347078735
63,321.72491795867484,30741.10686687939,26087.25288171864,4653.8539851607475
64,378.87725210498564,31997.12929916421,26087.255962965657,5909.873336198553
65,375.49053225212515,31884.008954525132,26087.258495041715,5796.750459483415
66,333.2912783467482,30901.093949710164,26087.260777734384,4813.833171975779
67,321.3982442974499,30633.12178562557,26087.262654660717,4545.8591309648555
68,358.87192519301743,31537.398761393877,26087.26502458772,5450.133736806159
69,377.668329198864,31967.919691214214,26087.295424659995,5880.62426655422
70,355.7988192568682,31437.972008986355,26087.270366419678,5350.701642566677
71,348.73465809931866,31265.19192284439,26087.273853131464,5177.918069712926
72,414.29562754666324,32828.41469775567,26087.27515310468,6741.139544650987
73,332.89258065444517,30928.18924980259,26087.278213136702,4840.911036665889
74,345.23122332505426,31200.384843456002,26087.28029356105,5113.1045498949525
75,378.2025153565841,31949.4117597796,26087.282582125707,5862.129177653895
76,342.1238553030734,31165.490257056314,26087.28463641596,5078.205620640355
77,356.40563099161346,31486.320904788266,26087.286601148342,5399.0343036399245
78,341.64572779254956,31130.417800077656,26087.288046942962,5043.129753134694
79,367.11102704372854,31693.8479559353,26087.291519469745,5606.556436465553
80,385.9706380668623,32134.606226671975,26087.289953242398,6047.316273429578
81,357.36288194124177,31480.282555787966,26087.290832465435,5392.9917233225315
82,338.65338950138084,31041.665934376833,26087.29211431135,4954.373820065483
83,370.27569313098684,31778.587760709095,26087.29529747239,5691.2924632367085
84,360.47272353463734,31525.81727861592,26087.294432683375,5438.522845932543
85,358.4225442880245,31501.102480276986,26087.2960128042,5413.806467472787
86,379.7266654623529,32005.33500628105,26087.325188910592,5918.0098173704555
87,350.3686911201669,31321.266114605598,26087.298571657797,5233.9675429478
88,343.6561111845906,31158.19029650296,26087.29960504244,5070.890691460518
89,355.8689219940988,31456.186881423826,26087.298333880954,5368.8885475428715
90,340.32953302119006,31122.049388164494,26087.298876985453,5034.750511179043
91,368.34943099751627,31747.720882352132,26087.300069116463,5660.42081323567
92,351.35522003950416,31332.808726947613,26087.30051263646,5245.508214311153
93,350.29871481316536,31331.84003245524,26087.30170388939,5244.538328565851
94,338.39050234578997,31017.9747324537,26087.331478479497,4930.643253974203
95,356.75045989666665,31470.9598629097,26087.303614204327,5383.656248705376
96,350.8864696335984,31340.01133458932,26087.30426049198,5252.707074097341
97,342.7376516301498,31147.438639204156,26087.304799132977,5060.133840071179
98,354.4650998758167,31406.49634448862,26087.305540646903,5319.190803841717
99,346.7416027784027,31240.35585101742,26087.306121015878,5153.049730001542
100,379.2822457077916,31996.032270347136,26087.323356335044,5908.7089140120925
101,348.42993426452347,31271.880000222063,26087.315443913256,5184.5645563088065
102,383.2176108049106,32078.772210181847,26087.308423111404,5991.463787070442
103,364.9314973239252,31649.77999100206,26087.347763709447,5562.432227292612
104,316.78259191399286,30589.48815040874,26087.310207372102,4502.177943036637
105,339.7436192709254,31025.00408472994,26087.311505421898,4937.692579308043
106,363.18635983528213,31628.558560785783,26087.3120332508,5541.246527534982
107,341.5864640132531,31117.285587908667,26087.313089822946,5029.972498085722
108,359.4548279499589,31544.15623927238,26087.313662193817,5456.84257707856
109,328.8909378004594,30789.988973336564,26087.31425346562,4702.67471987094
110,340.3567777092683,31094.73963829589,26087.3147794031,5007.424858892789
111,362.44839625734426,31600.151010740687,26087.315442684016,5512.835568056669
112,346.6282153877178,31229.005800234456,26087.31683921175,5141.688961022705
113,340.17376477858534,31113.133587395063,26087.316571281815,5025.8170161132475
114,355.6864025003938,31447.688782162004,26087.31676967925,5360.372012482752
115,392.7467703260184,32336.846993593572,26087.31701774441,6249.52997584916
116,336.4374989737273,30977.36637671605,26087.33593680093,4890.03043991512
117,384.931553147509,32119.839632133382,26087.349022648756,6032.4906094846265
118,361.2261507128891,31591.3781183831,26087.317485511103,5504.060632871999
119,339.79182038685803,31099.51755365495,26087.331677696697,5012.185875958254
120,375.5797780361663,31896.27023484253,26087.318268613693,5808.951966228835
121,364.4721450830841,31653.542468887932,26087.318392868117,5566.224076019815
122,353.86934036713365,31510.37268241642,26087.31834643932,5423.054335977101
123,351.91571549128776,31377.995329388315,26087.318196760254,5290.6771326280605
124,335.0390221997665,30959.398859481924,26087.31810892321,4872.080750558716
125,385.8460452171547,32166.186927081642,26087.31799287402,6078.868934207622
126,331.8288902025641,30936.408341368544,26087.317818687767,4849.090522680775
127,331.0673522774009,30859.70880137431,26087.335753830695,4772.373047543614
128,352.86241736126766,31384.807855160594,26087.348916624043,5297.458938536552
129,341.69267622748634,31121.16795752789,26087.317221894653,5033.850735633238
130,349.2543213532347,31360.59505918093,26087.31656516906,5273.278494011871
131,339.15324466921663,31024.574865998482,26087.316025407727,4937.258840590756
132,350.6982740227547,31354.87019118913,26087.348848614933,5267.521342574197
133,326.173649233408,30749.317270664378,26087.315366721232,4662.001903943145
134,349.6861815914529,31305.9117086816,26087.315017535235,5218.596691146366
135,359.16560332827953,31520.5311609514,26087.3146059491,5433.216555002299
136,381.93372381196076,32054.09171396159,26087.314793137826,5966.776920823762
137,323.33099884207917,30657.221873269023,26087.314177474458,4569.907695794565
138,380.4342835309129,32052.69658816108,26087.349054385617,5965.347533775464
139,364.12043852391304,31627.086638302466,26087.31356332815,5539.773074974318
140,344.0510363863382,31161.293239415656,26087.313233995155,5073.9800054205
141,347.08645421437166,31226.530268526214,26087.313060765944,5139.217207760269
142,343.82169534232946,31130.446238478264,26087.329288141405,5043.116950336857
143,371.3328197573346,31792.858009195887,26087.348828282862,5705.509180913023
