episode,makespan,total_energy,working_energy,idle_energy
0,1036.350579342839,36058.138098490526,24097.688969905244,11960.449128585278
1,1015.287847531025,35500.42005001905,24101.62852627407,11398.791523744978
2,1066.0053553697535,36750.06021797363,24138.4876262415,12611.572591732132
3,1301.9455603589768,40938.41519641788,26379.722404746844,14558.692791671036
4,1357.552477374109,42293.22433518972,26451.264014150394,15841.960321039327
5,1378.6105287504104,42802.34762214109,26490.44815394663,16311.89946819446
6,1395.8407696545278,43227.67541958616,26501.646936337314,16726.028483248847
7,1395.7857840690556,43229.53394424183,26497.69634884731,16731.83759539453
8,1398.3259621194738,43289.30813477597,26497.619511735,16791.688623040973
9,1410.08873953822,43583.402009199235,26492.785031025065,17090.61697817417
10,1420.0980705273655,43832.29218587091,26497.38764224165,17334.904543629258
11,1426.6235750501846,43997.70024412392,26498.580563100084,17499.11968102383
12,1428.2652612468753,44040.466656496406,26484.718702254067,17555.74795424234
13,1416.6675435344448,43819.82171132525,26405.944375261508,17413.877336063735
14,1424.267517474035,43950.917334510916,26483.44593152872,17467.4714029822
15,1429.2506535217237,44062.49957821368,26496.472048688902,17566.027529524777
16,1428.7981941150754,44051.51288495229,26495.049002650783,17556.46388230151
17,1429.9395904883872,44077.251432579695,26497.959622811948,17579.291809767743
18,1430.9365399480969,44102.285178620936,26503.054379658992,17599.23079896194
19,1431.1000000000013,44105.91888828289,26503.41888828286,17602.500000000025
20,1431.0504279118838,44104.80982061481,26503.301262377136,17601.508558237678
21,1430.9947590018166,44103.61832001597,26503.223139979644,17600.395180036332
22,1430.69487314125,44095.87725197515,26501.47978915016,17594.397462824996
23,1430.4726176843808,44090.351394670135,26500.39904098252,17589.952353687615
24,1430.8581257096355,44100.64287522105,26502.980361028334,17597.66251419271
25,1431.1000000000013,44105.91888828288,26503.418888282857,17602.500000000025
26,1430.8218548409377,44099.85525174378,26502.918154925028,17596.937096818754
27,1429.2640091327169,44062.655692844644,26496.875510190308,17565.780182654336
28,1430.1942517549267,44085.826194819376,26501.441159720845,17584.38503509853
29,1421.754436431576,43914.875864181624,26447.610375250275,17467.265488931345
30,1266.3098451665544,41139.935302248516,25509.903618678425,15630.031683570087
31,450.90017866019116,28800.412341540632,22723.678748082693,6076.733593457939
