Scale,n_stations,Component,Mean (ms),Std (ms),Min (ms),Max (ms)
small,5,policy_network,0.138069,0.033729,0.112615,0.357247
small,5,hungarian,0.003800,0.001620,0.002503,0.018406
small,5,qp,0.014593,0.002951,0.010720,0.025033
small,5,total,0.156462,0.036545,0.127942,0.388155
medium,50,policy_network,0.277558,0.611095,0.127832,4.669416
medium,50,hungarian,0.004403,0.001141,0.003037,0.009716
medium,50,qp,0.014757,0.002821,0.011820,0.030993
medium,50,total,0.296718,0.613635,0.144240,4.698505
large,100,policy_network,0.343831,0.902355,0.133990,6.826538
large,100,hungarian,0.005089,0.002407,0.003279,0.016928
large,100,qp,0.014651,0.003253,0.012007,0.029525
large,100,total,0.363572,0.904193,0.150550,6.854256
