n_stations,Policy Network (ms),Hungarian (ms),QP (ms),Total (ms)
5,0.1381,0.0038,0.0146,0.1565
50,0.2776,0.0044,0.0148,0.2967
100,0.3438,0.0051,0.0147,0.3636
