episode,makespan,total_energy,working_energy,idle_energy
0,918.583854973219,34018.96917936255,23162.81085901809,10856.158320344466
1,936.1822670509246,34430.62605755162,23195.27847295133,11235.34758460029
2,927.3386315774776,34240.361445561226,23169.380503167027,11070.980942394202
3,1313.80292273944,41437.68776015619,26104.65487698038,15333.032883175805
4,1338.207510787763,41887.44236236257,26307.10023984301,15580.34212251956
5,1353.8053197228269,42352.57184146942,26247.362368548183,16105.209472921237
6,357.97639917949795,28528.698487532743,23945.765011925396,4582.933475607348
7,362.9276196501211,28797.96096429745,24088.215778491834,4709.745185805615
8,349.55987931569075,28877.25695891781,24241.545317039738,4635.7116418780715
9,347.46327458168133,28956.53999517637,24358.802056337696,4597.737938838672
10,344.9618977340652,29242.232968292796,24527.945160058287,4714.287808234509
11,342.8818313720082,29181.96287411778,24511.332018141526,4670.630855976255
12,344.9130815507615,29167.850658949756,24467.560680224065,4700.28997872569
13,334.9633143097612,29142.041623339654,24571.901040683526,4570.1405826561295
14,337.62828326715686,29134.725639002343,24547.49566554027,4587.229973462072
15,333.2899846603,29171.670856164073,24594.72493209694,4576.945924067134
16,339.67941538619556,29169.365514955625,24513.84993773686,4655.515577218764
17,335.6853718948522,29220.395469634765,24590.41000569092,4629.985463943847
18,337.8675142357032,29110.701300510504,24499.316423363816,4611.384877146687
19,340.3659740763059,29228.38236802218,24565.09727717837,4663.285090843808
20,337.91309492757773,29198.62343925736,24544.082185172847,4654.541254084515
21,341.65658009658483,29219.674480856018,24503.378982535818,4716.295498320198
22,350.82525939962915,29254.07585497501,24452.37862751897,4801.697227456039
23,339.4493232375547,29187.72662688331,24535.097904640606,4652.628722242702
24,343.72477547045133,29213.83036906623,24507.67657239699,4706.153796669236
25,349.4994780747917,29297.368559554423,24504.11633617615,4793.252223378274
26,340.3616336939119,29210.77908375689,24523.461653963124,4687.317429793767
27,344.5358656064051,29297.6964773559,24530.851822518976,4766.844654836924
28,338.94182277387966,29254.091074435168,24605.020289392836,4649.070785042332
29,342.4939546311454,29160.14115264378,24488.535673053288,4671.605479590492
30,345.78933180440447,29233.427254883318,24487.777295243788,4745.6499596395315
31,345.7163917486684,29189.64195904148,24460.660600445764,4728.981358595718
32,349.60969059204484,29258.54321032536,24475.27128161626,4783.2719287090995
33,347.788052073075,29210.163315463593,24443.509880070822,4766.653435392773
34,343.55263709533125,29257.58574781513,24530.166680592065,4727.419067223063
35,350.09090266138054,29328.7655863495,24516.40460073406,4812.360985615439
36,352.89906097795864,29301.86934614979,24469.698719939857,4832.1706262099315
37,345.07322450136235,29326.922683206707,24574.367504946873,4752.555178259833
38,345.62638243298795,29142.791913370264,24422.53122226943,4720.260691100834
39,345.5975678759996,29204.49009612847,24472.39362767799,4732.09646845048
40,352.57650620215395,29329.331445529955,24514.40677743482,4814.9246680951355
41,350.1539613686507,29165.976996698846,24384.237045171343,4781.739951527504
42,348.3770056158982,29244.224487810985,24480.273896619758,4763.950591191229
43,348.41763068103745,29272.08122306151,24504.28213875789,4767.799084303617
44,347.39788534913185,29240.298871421466,24510.77001795205,4729.5288534694155
45,341.5894948539287,29293.800011152256,24582.780002310064,4711.020008842193
46,348.67517299804206,29216.651097380964,24458.74821762622,4757.9028797547435
47,352.20617488909375,29248.522918718787,24455.32208598666,4793.200832732128
48,350.4766773266332,29133.125654849566,24358.26063288134,4774.865021968224
49,348.4296606445574,29246.479641391023,24473.588471390976,4772.891170000048
50,339.8427504153312,29151.49360889165,24501.54872982513,4649.944879066525
51,340.3248479122051,29204.320563501202,24527.55223586981,4676.76832763139
52,335.81257934577303,29245.786800119236,24607.48024830644,4638.306551812794
53,343.08202861916004,29271.0428667699,24564.028339160133,4707.014527609766
54,343.173205429513,29221.57552546086,24495.322144646027,4726.253380814834
55,341.89625034334284,29199.377692987146,24513.8014464936,4685.576246493546
56,346.67365977291166,29274.426605261455,24497.49350656328,4776.933098698175
57,337.53576933333215,29179.40077605619,24552.686609626668,4626.714166429522
58,346.505325359819,29164.183569945566,24432.271533409756,4731.912036535811
59,345.17058348256444,29247.435628057432,24512.05526247317,4735.38036558426
60,345.50024474401374,29310.495860952487,24564.172254911657,4746.32360604083
61,341.2417253123733,29219.685193556805,24547.5738166905,4672.111376866305
62,344.31908405270593,29306.469035091788,24557.75255670892,4748.716478382865
63,347.1129642566287,29209.55839417034,24457.410435184713,4752.147958985629
64,343.89985007786004,29230.193741495896,24511.946163311008,4718.247578184889
65,346.3603237998142,29265.1211387754,24535.36272759856,4729.758411176843
66,350.52203829206417,29286.58227593785,24468.4498247452,4818.132451192651
67,345.64539809745435,29101.24366122856,24395.383227629736,4705.860433598823
68,349.053061191449,29180.120406308466,24410.42792841007,4769.692477898395
69,346.46746553432985,29185.391897216778,24444.558296969743,4740.833600247034
70,343.47639824691976,29271.202236783633,24539.28272565025,4731.919511133384
71,347.5865472929973,29231.19320511196,24447.78080502775,4783.41240008421
72,342.622493027234,29235.656704458303,24527.425973701305,4708.230730756997
73,344.11074209384424,29198.81730769526,24485.95545761269,4712.861850082567
74,345.2455089387969,29137.40670947896,24432.576918016704,4704.829791462255
75,342.17778011609636,29277.31919089145,24558.483373603223,4718.835817288226
76,336.0653436475028,29190.629537743873,24573.307118775385,4617.322418968486
77,336.414067489375,29146.33084232472,24540.612695725045,4605.718146599676
78,335.61198804252024,29191.352275242476,24591.633274572087,4599.71900067039
79,337.591922766816,29246.103011286614,24582.972870141803,4663.130141144813
80,337.9009424628695,29272.557656219815,24612.56561171214,4659.992044507675
81,339.1726778201165,29223.08554682095,24574.781120545405,4648.304426275543
82,336.51835593500454,29198.419849048838,24570.320984762893,4628.098864285945
83,342.9659473757428,29281.05949154248,24532.007041380777,4749.052450161705
84,332.83187312187573,29404.269463331133,24770.302442601715,4633.967020729419
85,336.0261408092395,29292.441286660076,24636.690116110007,4655.751170550068
86,332.9196150041471,29295.340822008722,24680.35425756049,4614.986564448232
87,333.90499480672827,29245.85404419878,24641.796339294742,4604.0577049040385
88,333.12531642903093,29411.338710027587,24775.332889605543,4636.005820422046
89,336.5119256409168,29166.31731873245,24531.35162477614,4634.965693956308
